 41  45  53 101 112  72  99 231 243 314 365 254 157 134 131 137 226 341 495 543 544 335 253 341 398 323 182  94  55  48  95  30  29  44  80 194 418 433 567 543 463 446 536 449 366 269 422 581 495 303 269 503 637 751 616 596 576 538 258 132 181 181 160  99  60  58  46  40  33  28  26  24  23  21  19  18  18  18  17  15  13  12  12  10  10   9   9   9   7   6   5   4   3   3   2   1   0   0   1   1   1   1   1   1   0   0   2   1
 39  44  55  93 182 111  98 195 364 453 395 334 271 180 140 125 146 272 374 473 436 522 294 244 288 304 243 154  96  54  82  57  29  26  71  58 362 363 403 609 473 460 436 542 421 307 337 441 547 388 225 351 514 791 741 550 456 361 305 121 111 173 121 121  62  49  40  35  29  26  25  23  21  20  18  17  17  17  16  14  12  11  10  10   9   9   9   8   7   6   5   4   3   3   2   1   1   0   1   1   1   1   1   0   0   0   1   1
 35  40  53 176 292 240 110 148 236 372 404 350 252 182 182 121 129 186 280 303 315 369 427 340 270 240 261 363 180 114  53  41  30  25  60  45 113 268 260 488 476 463 452 470 609 335 307 312 570 461 245 264 369 612 801 594 505 351 423 171  95 133 147 122  93  51  42  34  30  26  24  21  19  18  18  17  17  16  14  12  11  10  10   9   8   7   7   7   6   5   5   4   3   3   2   1   0   0   1   1   1   1   1   0   1   0   1   1
 32  35  44 168 351 322 205 129 156 182 241 349 245 165 163 119 167 136 161 217 357 487 562 435 295 304 235 258 306 251 122  54  29  23 106  24  53 242 161 361 488 482 425 354 595 396 425 316 547 380 211 196 303 425 665 704 555 425 421 244  95  97 192 132 121  53  42  32  29  26  24  21  18  18  17  17  16  14  13  12  10  10   9   8   7   6   6   6   5   5   4   3   3   3   2   1   0   1   1   1   1   1   1   0   0   0   1   1
 30  33  40  73 252 351 304 220 147 168 187 304 233 169 121 116 179 121 122 195 345 434 492 625 539 475 285 276 163 222 215 112  35  23  21  20  23 117 182 192 428 415 358 289 507 363 291 295 384 255 182 182 227 309 390 607 569 382 210 255 121  86 100  86 122  54  39  31  28  24  23  21  19  18  17  16  15  13  12  11  10   9   8   7   6   5   5   5   5   4   4   3   3   3   2   0   0   1   1   1   1   0   0   0   0   0   1   1
 29  29  32  40  97 227 242 243 182 195 229 242 266 184 150 117 179 122 106 175 320 466 534 639 779 568 356 351 253 155 204 216  47  23  22  21  18  72 101 155 309 345 357 314 452 339 213 208 234 229 166 181 157 209 301 413 670 425 259 298 115  86  72  61 119  48  36  31  28  24  23  20  18  17  16  14  12  12  11  10   9   8   7   6   6   5   5   5   4   3   3   3   3   2   1   0   1   1   1   1   1   1   1   0   0   0   1   1
 28  29  30  33  46  79 120 208 242 231 267 254 307 251 185 119  95 121 101 121 208 496 548 587 681 666 557 425 425 243 121 182 121  29  24  23  18  21  30  72 125 238 174 219 399 475 194 181 183 244 193 117 117 181 242 306 592 463 363 403 149  97  71  60  69  42  37  31  28  24  23  19  18  17  15  14  12  12  10   9   8   7   7   6   5   4   4   4   3   3   2   2   2   1   0   0   1   1   1   1   1   1   0   0   0   0   1   1
 28  29  30  33  40  54  76 167 245 286 304 394 432 427 323 184 134  84 120 115 260 409 492 546 610 545 606 488 304 243 270 113 182  34  31  24  20  14  22  35  43  63 235 274 309 407 228 182 146 230 263 164 121 179 181 233 364 600 335 262 133  97  72  59  54  48  41  30  30  25  23  20  18  17  15  13  12  12   9   8   7   7   6   6   5   4   3   3   3   2   1   1   1   0   0   0   1   1   1   1   0   0   0   0   0   0   0   0
 28  29  30  34  39  48  69 143 258 318 425 528 662 647 427 244 189  95  64  64 119 289 278 369 532 517 424 423 305 304 195 207  55  45  35  29  22  16  13  24  23  53 207 242 301 410 311 290 282 121 182 184 121 258 187 181 300 556 471 231 198  90 122  55  51  57  40  33  29  24  23  20  18  17  15  13  12  10   8   7   7   6   6   5   4   3   3   2   2   1   1   1   0   0   0   1   1   1   1   1   0   0   0   0   1   0   0   0
 28  29  30  33  41  51  82 123 243 306 397 502 674 699 487 327 243 142  70  58  77 144 237 332 347 382 441 286 270 183 171 229  89  45  30  24  22  16  11  24  19  37 126 253 546 427 426 342 268 137 188 248 121 133 230 126 326 379 310 125 233  94  65  68  48  42  36  31  30  25  23  20  18  17  15  13  12   9   7   5   6   6   5   4   3   2   2   2   1   1   1   1   0   0   0   1   1   1   1   1   0   0   1   0   0   0   0   0
 29  29  30  34  44  55  77  99 157 225 323 527 608 654 634 556 318 172  88  55  58 140 242 346 243 311 361 426 410 278 121 122 118  50  30  24  22  16  11  12  20  24  52 122 365 426 481 517 427 287 122 119 127 122 184 119 153 243 365 156 134  88  69 141  75  42  36  32  29  25  23  20  18  16  14  12  10   8   7   6   5   5   4   3   3   2   2   1   1   1   0   1   0   0   0   1   1   1   1   1   0   0   0   0   0   0   0   0
 46  42  31  34  42  51  87 102 152 243 314 471 594 670 608 589 437 199 115  60  43  60 180 237 304 329 374 314 343 345 345 204 157  93  45  29  23  16  11   7  21  25  28  56 307 434 442 541 488 335 188 102 162 202 113 112 121 242 306 160 133 100  70  98 218  50  36  32  28  24  22  19  18  16  14  12  10   7   7   6   4   4   3   3   3   1   1   1   0   0   0   0   0   0   0   1   1   1   1   0   0   0  -1   0   0   0   0   0
 80  60  49  34  37  43  48  68 119 191 294 366 486 629 602 490 456 241 118  60  42  48  95 185 200 129 261 239 349 239 248 161 126  68  51  30  24  16  10   5  60  43  60  72 254 454 426 527 599 398 251 121  58 122 106  84 182 179 290 243 120 152  89  91 177 104  42  30  36  26  22  18  18  16  13  11  10   8   6   5   5   3   3   3   2   1   0   0   0   0   0   0   0   0   1   1   1   1   1   0   0   0   0  -1  -1   0   0   0
112  85  59  41  29  38  46  60 120 169 205 309 371 497 548 373 280 295 122  60  43  29  57 182 147 169 164 190 204 220 176 200 137  61  50  54  24  14   5   5 105  58  59  63 175 362 426 434 551 502 316 192  51  72  51  53  60 102 175 240  83  59 115 138 182  56  34  31  28  34  22  17  15  12  12  10   9   8   6   4   4   3   3   2   1   0   0   0   0   0   0   0   0   0   1   1   0   0   0   0   1   0   0  -1  -1  -1   0   0
 60  54 116  58  28  28  32  33  70 120 165 207 277 349 455 443 288 180 121  58  40  26  27  32  60  45  59 130 182 274 120 189 182 110  60  60  24  13   5   3  34  26  33  51 113 294 389 392 401 487 306 155  56  60  45  47 106 137 122 110  60  54  47 130 127  28  27  29  24  28  23  17  15  13  11   9   8   7   6   5   3   3   2   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  -1   0   0   0
 72  37  28 102  45  20  23  32  60  87 120 140 201 242 312 394 316 175  97  57  38  25  20  22  24  30  30 121 177 192 188 105 149 119  58  63  39  13   5   3  20  34  34 100 121 269 360 365 339 254 258 132  38  39  45  50  60  70 121  60  49  53  24  26  16  17  21  24  30  24  20  17  15  13  11   8   6   6   3   3   3   3   2   2   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   1   0   0   0   0   0   0   0   0
 60  39  22  12  23  13  32  36  48  60  94 120 134 199 264 286 379 245 121  55  32  23  13  17  18  21  23  59 200 182 182 130  90 120  54  32  77   6   3   2  19  28  60 122 231 273 304 243 185 132 205 178  60  28  35  31  66  64  58  56  23  19  18  16  12  14  17  21  23  23  18  17  13  11  11   8   7   6   6   3   3   3   2   1   1   1   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0  -1  -1   0   0   0   0   0
 72  33  29  12  12  12  12  19  34  36  59  89  85 121 169 232 249 247 110  52  29  21  12  12  12  15  17  25 120 182 182 118  90  68  48  29  59  14   1   1  22 120 208 242 309 365 363 346 148  80 182 117  48  27  24  21  20  41  21  21  17  12  13  13  11  14  17  17  17  16  16  18  13  11  11   9   7   6   6   4   3   3   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  -1  -1  -1  -1   0   0   0   0
 30  25  26  12  23  12  12  12  21  25  30  37  70  64  95 159 200 182 121  60  30  20  12   8   7  10  23  23  58 121 105  60  60  47  46  23  18  13   0   1   6  73 178 255 419 366 401 332 157  50 176 133  62  23  18  17  15  15  11  10  10   9  10   9  10  15  22  16  13  12  12  12  13  10  11  10   8   7   6   3   3   3   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0  -1  -1  -1  -1  -1   0   0   0
 97  43  21  23  14  28  26  12  12  15  18  22  39  42  52  64 118 135 145  92  32  19  11   6   5   5   5  22  52  60 110  59  46  58  28  25  14   1   0   1  26  88 181 238 322 425 381 293  91  26  61 119  88  23  16  14  12  10   7   6   4   4   6   6   7  10  10   9   9  11   9  11  17  10  11  10   8   7   6   4   3   3   3   2   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0  -1  -1  -1  -1   0   0   0   0   0
124  64  27  39  20  36  30  12  12  12  11  14  20  21  54  60  60  63 112  61  39  21  11   6   1   1   3   8  39  59  59  66  19  33  27  16  13  10   1  27  29  62 124 182 288 362 296 202  73  19  29 124  33  15  12  11  12   6   4   1   1   1   1   2   4   4   5   5   6   6   5   6   8  10  11  11  10   9   8   6   6   7   6   5   3   2   0   0   0   0   0   0   0   0   0   0   0   0   0  -1   0   0   0   0   0   0   0   0
