# 
#
# USGS Parameter Code Definitions File
#
# Column Definitions
#  parameter_cd  - Parameter Code
#  parameter_group_nm  - Group Name
#  parameter_nm  - Parameter Name/Description
#  casrn  - CASRN
#  srsname  - SRSName
#  parameter_units  - Parameter Unit
#
#
# Date Retrieved: 2017-06-14 13:33:26 EDT
#
parameter_cd	parameter_group_nm	parameter_nm	casrn	srsname	parameter_units
45587	Information	Temperature, internal, within data collection platform, degrees Celsius			deg C
45588	Information	Temperature, internal, within data collection platform, degrees Fahrenheit			deg F
45589	Information	Temperature, internal, within equipment shelter, degrees Celsius			deg C
45590	Information	Temperature, internal, within equipment shelter, degrees Fahrenheit			deg F
45591	Information	Gate opening, height, meters			m
45592	Information	Gate opening, height, feet			ft
45700	Information	Gate openings, reservoir, all gates, feet			ft
49261	Information	alpha-HCH-d6, surrogate, biota, whole organism, percent recovery	86194-41-4		%
49264	Information	PCB congener 14, surrogate, biota, whole organism, percent recovery	34883-41-5		%
49275	Information	alpha-HCH-d6, surrogate, bed sediment smaller than 2 millimeters, wet sieved (native water), field, percent recovery	86194-41-4		%
49276	Information	PCB congener 204, surrogate, bed sediment smaller than 2 millimeters, wet sieved (native water), field, percent recovery	74472-52-9		%
49277	Information	PCB congener 14, surrogate, bed sediment smaller than 2 millimeters, wet sieved (native water), field, percent recovery	34883-41-5		%
49278	Information	p-Terphenyl-d14, surrogate, bed sediment smaller than 2 millimeters, wet sieved (native water), field, percent recovery	1718-51-0		%
49279	Information	2-Fluorobiphenyl, surrogate, bed sediment smaller than 2 millimeters, wet sieved (native water), field, percent recovery	321-60-8		%
49280	Information	Nitrobenzene-d5, surrogate, bed sediment smaller than 2 millimeters, wet sieved (native water), field, percent recovery	4165-60-0		%
49281	Information	Location in cross section, distance from left bank looking downstream, percent			%
49956	Information	Distance, observation point to sample location, feet		Distance	ft
49957	Information	Distance, horizontal, observation point to sampling location, feet		Distance	ft
49958	Information	Angle, vertical, observation point to sampling location, degrees			Deg
49959	Information	Azimuth, observation point to sampling location, degrees			Deg
50014	Information	Transit rate, sampler, minimum, feet per second			ft/sec
50015	Information	Transit rate, sampler, feet per second			ft/sec
50016	Information	Transit rate, sampler, maximum, feet per second			ft/sec
50055	Information	Depth of flow in pipe or conduit, inches		Depth	in
50276	Information	Filter type, code			code
50277	Information	Method, sample separation, code			code
50280	Information	Site visit purpose, code			code
50292	Information	Gain control, automatic receiver, acoustic velocity meter, decibels			dB
50293	Information	Velocity samplings, good, average stored, acoustic velocity meter, percent			%
50294	Information	Diagnostic code, tattler, acoustic velocity meter, number			nu
50414	Information	Distance, observation point to stream bottom, meters		Distance	m
50415	Information	Distance, observation point to stream bottom, feet		Distance	ft
50416	Information	Distance, observation point to sampling location, meters		Distance	m
50417	Information	Distance, observation point to sampling location, feet		Distance	ft
50418	Information	Azimuth, observation point to sample location, degrees			Deg
50419	Information	Angle, vertical, observation point to sampling location, degrees			Deg
51102	Information	Sample weight, surfactants method, solids, grams			g
51918	Information	11-Ketotestosterone, spike, water, filtered, apparent percent recovery	564-35-2		%
51919	Information	17-alpha-Estradiol, spike, water, filtered, apparent percent recovery	57-91-0		%
51920	Information	17-alpha-Ethynylestradiol, spike, water, filtered, apparent percent recovery	57-63-6		%
51921	Information	17-beta-Estradiol, spike, water, filtered, apparent percent recovery	50-28-2		%
51922	Information	19-Norethindrone, spike, water, filtered, apparent percent recovery	68-22-4		%
51923	Information	4-Androstene-3,17-dione, spike, water, filtered, apparent percent recovery	63-05-8		%
51924	Information	trans-Diethylstilbestrol, spike, water, filtered, apparent percent recovery	56-53-1		%
51925	Information	Equilin, spike, water, filtered, apparent percent recovery	474-86-2		%
51926	Information	Equilenin, spike, water, filtered, apparent percent recovery	517-09-9		%
51927	Information	Estriol, spike, water, filtered, apparent percent recovery	50-27-1		%
51928	Information	Estrone, spike, water, filtered, apparent percent recovery	53-16-7		%
51929	Information	Norgestimate, spike, water, filtered, apparent percent recovery	35189-28-7		%
51930	Information	Progesterone, spike, water, filtered, apparent percent recovery	57-83-0		%
51931	Information	6-alpha-Methyl-17-alpha-hydroxyprogesterone, spike, water, filtered, apparent percent recovery			%
51932	Information	Testosterone, spike, water, filtered, apparent percent recovery	58-22-0		%
51933	Information	Epitestosterone, spike, water, filtered, apparent percent recovery	481-30-1		%
51934	Information	Trenbolone, spike, water, filtered, apparent percent recovery	10161-33-8		%
51935	Information	17-beta-Estriol-3-sulfate, spike, water, filtered, apparent percent recovery			%
51936	Information	17-beta-Estriol-17-sulfate, spike, water, filtered, apparent percent recovery			%
51937	Information	Androsterone sulfate, spike, water, filtered, apparent percent recovery	2479-86-9		%
51938	Information	Equilenin sulfate, spike, water, filtered, apparent percent recovery			%
51939	Information	Equilin sulfate, spike, water, filtered, apparent percent recovery			%
51940	Information	Estriol-3-sulfate, spike, water, filtered, apparent percent recovery	481-95-8		%
51941	Information	Estriol-17-sulfate, spike, water, filtered, apparent percent recovery	42028-21-7		%
51942	Information	Estrone-3-sulfate, spike, water, filtered, apparent percent recovery	481-97-0		%
51943	Information	Ethinylestradiol-3-sulfate, spike, water, filtered, apparent percent recovery	24560-70-1		%
51944	Information	Testosterone sulfate, spike, water, filtered, apparent percent recovery			%
51945	Information	17-beta-Estradiol-17-glucuronide, spike, water, filtered, apparent percent recovery	1806-98-0		%
51946	Information	Androsterone-glucuronide, spike, water, filtered, apparent percent recovery	1852-43-3		%
51947	Information	Diethylstilbesterol glucuronide, spike, water, filtered, apparent percent recovery	2408-40-4		%
51948	Information	Estriol-3-glucuronide, spike, water, filtered, apparent percent recovery	2479-91-6		%
51949	Information	Estrone glucuronide, spike, water, filtered, apparent percent recovery	2479-90-5		%
51950	Information	Ethenylestradiol-3-glucuronide, spike, water, filtered, apparent percent recovery			%
51951	Information	Genestein, spike, water, filtered, apparent percent recovery	446-72-0		%
51952	Information	Daidzein, spike, water, filtered, apparent percent recovery	486-66-8		%
51953	Information	Formonentin, spike, water, filtered, apparent percent recovery	485-72-3		%
51954	Information	Coumesterol, spike, water, filtered, apparent percent recovery	479-13-0		%
51955	Information	Equol, spike, water, filtered, apparent percent recovery	531-95-3		%
51956	Information	Biochanin A, spike, water, filtered, apparent percent recovery	491-80-5		%
51957	Information	Glyphosate, spike, water, filtered, apparent percent recovery	1071-83-6		%
51958	Information	Aminomethylphosphonic acid (AMPA), spike, water, filtered, apparent percent recovery	77182-82-2		%
51959	Information	Glufosinate, spike, water, filtered, apparent percent recovery	51276-47-2		%
51960	Information	Azithromycin, spike, water, filtered, apparent percent recovery	117772-70-0		%
51961	Information	Carbamazepine, spike, water, filtered, apparent percent recovery	298-46-4		%
51962	Information	Chloroamphenicol, spike, water, filtered, apparent percent recovery	56-75-7		%
51963	Information	Chlorotetracycline, spike, water, filtered, apparent percent recovery	64-72-2		%
51964	Information	Ciprofloxacin, spike, water, filtered, apparent percent recovery	85721-33-1		%
51965	Information	Doxycycline, spike, water, filtered, apparent percent recovery	564-25-0		%
51966	Information	Enrofloxacin, spike, water, filtered, apparent percent recovery	93106-60-6		%
51967	Information	Epichlorotetracycline, spike, water, filtered, apparent percent recovery			%
51968	Information	Epiisochlorotetracycline, spike, water, filtered, apparent percent recovery			%
51969	Information	Epioxytetracycline, spike, water, filtered, apparent percent recovery	35259-39-3		%
51970	Information	Epitetracycline, spike, water, filtered, apparent percent recovery	79-85-6		%
51971	Information	Erythromycin, spike, water, filtered, apparent percent recovery	114-07-8		%
51972	Information	Erythromycin-H2O, spike, water, filtered, apparent percent recovery	23893-13-2		%
51973	Information	Ibuprofen, spike, water, filtered, apparent percent recovery	15687-27-1		%
51974	Information	Isochlorotetracycline, spike, water, filtered, apparent percent recovery	514-53-4		%
51975	Information	Lincomycin, spike, water, filtered, apparent percent recovery	154-21-2		%
51976	Information	Lomefloxacin, spike, water, filtered, apparent percent recovery	98079-51-7		%
51977	Information	Norfloxacin, spike, water, filtered, apparent percent recovery	70458-96-7		%
51978	Information	Ofloxacin, spike, water, filtered, apparent percent recovery	82419-36-1		%
51979	Information	Ormetoprim, spike, water, filtered, apparent percent recovery	6981-18-6		%
51980	Information	Oxytetracycline, spike, water, filtered, apparent percent recovery	6153-64-6		%
51981	Information	Roxithromycin, spike, water, filtered, apparent percent recovery	80214-83-1		%
51982	Information	Sarafloxacin, spike, water, filtered, apparent percent recovery	98105-99-8		%
51983	Information	Sulfachloropyridazine, spike, water, filtered, apparent percent recovery	80-32-0		%
51984	Information	Sulfadiazine, spike, water, filtered, apparent percent recovery	68-35-9		%
51985	Information	Sulfadimethoxine, spike, water, filtered, apparent percent recovery	122-11-2		%
51986	Information	Sulfamethoxazole, spike, water, filtered, apparent percent recovery	723-46-6		%
51987	Information	Sulfamethazine, spike, water, filtered, apparent percent recovery	57-68-1		%
51988	Information	Sulfathiazole, spike, water, filtered, apparent percent recovery	72-14-0		%
51989	Information	Tetracycline, spike, water, filtered, apparent percent recovery	60-54-8		%
51990	Information	Trimethoprim, spike, water, filtered, apparent percent recovery	738-70-5		%
51991	Information	Tylosin, spike, water, filtered, apparent percent recovery	1401-69-0		%
51992	Information	Virginamycin, spike, water, filtered, apparent percent recovery	11006-76-1		%
52000	Information	n-Eicosane (C20), surrogate, water, filtered, percent recovery	112-95-8		%
52001	Information	Dibromofluoromethane, surrogate, water, unfiltered, percent recovery	1868-53-7		%
52770	Information	Solids, dry weight, percent of wet weight		Total solids	%
52918	Information	Metformin-d6, internal standard/surrogate, NWQL schedule 8240, water, polar organic chemical integrative sampler (POCIS), percent recovery			%
52988	Information	(+-)-Hydroxybupropion-d6, IDIS, NWQL Pharm 3, water, filtered, percent recovery	1184984-06-2		%
52989	Information	1H-Benzotriazole-4,5,6,7-d4, IDIS, NWQL Pharm 3, water, filtered, percent recovery	1185072-03-0		%
52990	Information	4-Methylbenzotriazole-d3, IDIS, NWQL Pharm 3, water, filtered, percent recovery	1219151-49-1		%
52991	Information	9-Hydroxyrisperidone-d4, IDIS, NWQL Pharm 3, water, filtered, percent recovery	1020719-55-4		%
52992	Information	Acesulfame-d4, IDIS, NWQL Pharm 3, water, filtered, percent recovery			%
52993	Information	alpha-Hydroxyalprazolam-d5, IDIS, NWQL Pharm 3, water, filtered, percent recovery	136765-24-7		%
52994	Information	Alprazolam-(phenyl-d5), IDIS, NWQL Pharm 3, water, filtered, percent recovery	125229-61-0		%
52995	Information	Aripiprazole-d8, IDIS, NWQL Pharm 3, water, filtered, percent recovery	1089115-06-9		%
52996	Information	Carbamazepine-10,11-epoxide-d8, IDIS, NWQL Pharm 3, water, filtered, percent recovery			%
52997	Information	Ciprofloxacin-(2,3,carboxyl)-13C3-quinoline-15N, IDIS, NWQL Pharm 3, water, filtered, percent recovery			%
52998	Information	Citalopram-d6, IDIS, NWQL Pharm 3, water, filtered, percent recovery	1190003-26-9		%
52999	Information	Clobazam-13C6, IDIS, NWQL Pharm 3, water, filtered, percent recovery	1782501-70-5		%
53000	Information	Clotrimazole-d5, IDIS, NWQL Pharm 3, water, filtered, percent recovery	1185076-41-8		%
53001	Information	Clozapine-d4, IDIS, NWQL Pharm 3, water, filtered, percent recovery	204395-52-8		%
53002	Information	Cortisone-2,3,4-13C3, IDIS, NWQL Pharm 3, water, filtered, percent recovery	1356154-92-1		%
53003	Information	Creatinine-d3, IDIS, NWQL Pharm 3, water, filtered, percent recovery	143827-20-7		%
53004	Information	Ethyl-beta-D-glucuronide-d5 , IDIS, NWQL Pharm 3, water, filtered, percent recovery	1135070-98-2		%
53005	Information	Fentanyl-d5, IDIS, NWQL Pharm 3, water, filtered, percent recovery	118357-29-2		%
53006	Information	Ibandronic acid-d3, IDIS, NWQL Pharm 3, water, filtered, percent recovery			%
53007	Information	Iohexol-d5, IDIS, NWQL Pharm 3, water, filtered, percent recovery	928623-33-0		%
53008	Information	Iopamidol-d8, IDIS, NWQL Pharm 3, water, filtered, percent recovery			%
53009	Information	Ketamine-d4, IDIS, NWQL Pharm 3, water, filtered, percent recovery			%
53010	Information	Lamotrigine-13C-15N4, IDIS, NWQL Pharm 3, water, filtered, percent recovery			%
53011	Information	Levetiracetam-d6, IDIS, NWQL Pharm 3, water, filtered, percent recovery	1133229-30-7		%
53012	Information	Linaclotide-d4, IDIS, NWQL Pharm 3, water, filtered, percent recovery			%
53013	Information	Levothyroxine-13C6, IDIS, NWQL Pharm 3, water, filtered, percent recovery			%
53014	Information	N-Desmethylcitalopram-d3, IDIS, NWQL Pharm 3, water, filtered, percent recovery			%
53015	Information	Nitrazepam-d5, IDIS, NWQL Pharm 3, water, filtered, percent recovery	136765-45-2		%
53016	Information	Norfentanyl-d5, IDIS, NWQL Pharm 3, water, filtered, percent recovery	1211527-23-9		%
53017	Information	Orphenadrine-d3, IDIS, NWQL Pharm 3, water, filtered, percent recovery			%
53018	Information	Phenobarbital-d5, IDIS, NWQL Pharm 3, water, filtered, percent recovery			%
53019	Information	Pregabalin-d6, IDIS, NWQL Pharm 3, water, filtered, percent recovery			%
53020	Information	Propofol-d17, IDIS, NWQL Pharm 3, water, filtered, percent recovery	1261393-54-7		%
53021	Information	rac-Clopidogrel-d8, IDIS, NWQL Pharm 3, water, filtered, percent recovery	1346598-07-9		%
53022	Information	Risperidone-d4, IDIS, NWQL Pharm 3, water, filtered, percent recovery	1020719-76-9		%
53023	Information	Rosuvastatin lactone-d6 , IDIS, NWQL Pharm 3, water, filtered, percent recovery	1217245-37-8		%
53024	Information	Salicylic acid-d4, IDIS, NWQL Pharm 3, water, filtered, percent recovery	78646-17-0		%
53025	Information	Sucralose-d6, IDIS, NWQL Pharm 3, water, filtered, percent recovery	1459161-55-7		%
53026	Information	Vilazodone carboxylic acid-d4, IDIS, NWQL Pharm 3, water, filtered, recoverable, percent recovery			%
53027	Information	Lorazepam, IDIS, NWQL Pharm 3, water, filtered, percent recovery	846-49-1		%
61035	Information	Voltage, volts			volts
62535	Information	5-alpha-Androstane, surrogate, biomarker method, bed sediment, percent recovery	438-22-2		%
62536	Information	Sample weight, biomarker method, bed material, grams			g
62537	Information	Set number, biomarker method, bed material			nu
62594	Information	2-Fluorobiphenyl, surrogate, bed sediment, PAH method, percent recovery	321-60-8		%
62595	Information	Nitrobenzene-d5, surrogate, bed sediment, PAH method, percent recovery	4165-60-0		%
62596	Information	p-Terphenyl-d14, surrogate, bed sediment, PAH method, percent recovery	1718-51-0		%
62597	Information	Sample weight, PAH method, bed sediment, grams			g
62598	Information	Set number, PAH method, bed material			nu
62599	Information	Nitrobenzene-d5, surrogate, semivolatile method 1494, water, unfiltered, percent recovery	4165-60-0		%
62835	Information	Isobutyl alcohol-d6, surrogate, water, unfiltered, percent recovery	72182-69-5		%
62836	Information	Isodrin, surrogate, NWQL organochlorine compounds in bed sediment (OCBS) method, bed sediment, percent recovery	465-73-6		%
62837	Information	alpha-HCH-d6, surrogate, NWQL organochlorine compounds in bed sediment (OCBS) method, bed sediment, percent recovery	86194-41-4		%
62838	Information	Nonachlorobiphenyl, surrogate, NWQL organochlorine compounds in bed sediment (OCBS) method, bed sediment, percent recovery	53742-07-7		%
62839	Information	Bisphenol A-d3, surrogate, NWQL schedule 4433 and labcode 8033 (WWWW), water, unfiltered, percent recovery			%
62840	Information	Caffeine-13C, surrogate, NWQL schedule 4433 and labcode 8033 (WWWW), water, unfiltered, percent recovery			%
62841	Information	Decafluorobiphenyl, surrogate, NWQL schedule 4433 and labcode 8033 (WWWW), water, unfiltered, percent recovery	434-90-2		%
62842	Information	Fluoranthene-d10, surrogate, NWQL schedule 4433 and labcode 8033 (WWWW), water, unfiltered, percent recovery	93951-69-0		%
62955	Information	Sample matrix, code			code
62980	Information	Program or project from Analytical Services Request form, code			code
67308	Information	Bisphenol A-d16, isotope dilution standard, water, filtered, percent recovery	96210-87-6		%
67309	Information	Bisphenol A-d16, isotope dilution standard, water, unfiltered, percent recovery	96210-87-6		%
67310	Information	Bisphenol A-d16, isotope dilution standard, solids, percent recovery	96210-87-6		%
67311	Information	Bisphenol A-d16, isotope dilution standard, suspended sediment, percent recovery	96210-87-6		%
67312	Information	Bisphenol A-d16, isotope dilution standard, biota, tissue, percent recovery	96210-87-6		%
67313	Information	Bisphenol A-d16, isotope dilution standard, polar organic chemical integrative sampler (POCIS), percent recovery	96210-87-6		%
68043	Information	9-Fluorenone-d8, surrogate, water, unfiltered, percent recovery	137219-34-2		%
68044	Information	9,10-Anthraquinone-d8, surrogate, water, unfiltered, percent recovery	10439-39-1		%
68045	Information	Chrysene-d12, surrogate, water, unfiltered, percent recovery	1719-03-5		%
68735	Information	2-Ethyl-1-hexyl 2,3,4,5-tetrabromobenzoate, water, unfiltered, recoverable, micrograms per liter	183658-27-7		ug/l
70001	Information	Composite location in cross section			X-section
70218	Information	Time interval between storm and sample collection, hours			hours
70219	Information	Solution volume, total, dry deposition, milliliters			ml
70969	Information	DCP battery voltage, volts			volts
71994	Information	Volume of water filtered, liters			l
71995	Information	Water use, primary, code			code
71996	Information	Water use, secondary, code			code
71997	Information	Water use, tertiary, code			code
71998	Information	Water use, quaternary, code			code
71999	Information	Sample purpose, code			code
72000	Information	Altitude of land surface, feet			ft
72004	Information	Pump or flow period prior to sampling, minutes			minutes
72005	Information	Sample source, code			code
72006	Information	Sampling condition, code			code
72023	Information	Reservoir storage, million cubic feet		Reservoir storage	Mft3
72027	Information	Azimuth from outlet, degrees			Deg
72028	Information	Azimuth from southernmost point, degrees			Deg
72029	Information	Distance from outlet or southernmost point, feet			ft
72036	Information	Reservoir storage, thousand acre feet		Reservoir storage	Kac-ft
72050	Information	Withdrawal of groundwater, million gallons per month		Withdrawal rate	mgal/mnth
72051	Information	Withdrawal of groundwater, million gallons per year			mgal/year
72053	Information	Number of days since last precipitation event			days
72103	Information	Sample location, relative to right bank, looking downstream, feet			ft
72104	Information	Sample location, distance downstream, feet			ft
72105	Information	Sample location, distance upstream, feet			ft
72111	Information	DRGS transmission error codes			nu
72112	Information	DCP signal to noise ratio			None
72113	Information	DCP signal modulation index, decibels			dB
72114	Information	Estimate of DCP transmitted power, decibels			dB
72115	Information	DCP frequency offset from channel center, hertz			Hz
72116	Information	Number of bad characters transmitted by DCP			nu
72117	Information	Data collection platform transmission delivery delay, seconds			seconds
72118	Information	Reservoir storage, live pool, acre feet			ac-ft
72119	Information	Reservoir storage, active pool, acre feet			ac-ft
72120	Information	Reservoir storage, total pool, percent of capacity			%
72121	Information	Reservoir storage, live pool, percent of capacity			%
72126	Information	Standard deviation of wind direction, degrees		Wind direction, horizontal, std dev	Deg
72145	Information	Cumulative time sampler is open, minutes			minutes
72147	Information	Depth of sensor below water surface, feet			ft
72148	Information	Depth of sensor below water surface, meters			m
72152	Information	Collector wet exposure (time within recording interval that collector is open when it should be open), seconds			seconds
72153	Information	Collector dry exposure (time within recording interval that collector is open but should be closed), seconds			seconds
72154	Information	Collector missed exposure (time within recording interval that collector is closed but should be open), seconds			seconds
72155	Information	Blocked optical sensor (time within recording interval that optical sensor is blocked), seconds			seconds
72156	Information	Datalogger scan time per recording interval, seconds			seconds
72157	Information	Optical sensor particle counts within recording interval, number			number
72158	Information	Collector lid cycles in recording interval, number			number
72160	Information	Ratio of number of good to total number of daytime evapotranspiration (ET) measurements, number			number
72161	Information	Evapotranspiration (ET) method, measured (1) or modeled (0), code			code
72162	Information	Thermal survey period starting time, 24 hour clock, hour-minute (hhmm)			2400 hours
72163	Information	Thermal survey period duration, days			days
72165	Information	Absolute pressure from unvented pressure transducer, feet			ft
72166	Information	Raw sensor value, millivolts			mv
72176	Information	Temperature of sensor, degrees Celsius			deg C
72191	Information	Area, cross section, square meters			m2
72195	Information	Depth to compute isokinetic transit rate, feet			ft
72196	Information	Velocity to compute isokinetic transit rate, feet per second			ft/sec
72197	Information	Specific weight, dry, pounds per cubic foot			lb/ft3
72203	Information	Absolute pressure from unvented pressure transducer, pounds per square inch			psi
72217	Information	Duration sampler collected water, seconds			seconds
72218	Information	Sample volume to compute isokinetic transit rate, milliliters			ml
72219	Information	Sampler nozzle material, code			code
72220	Information	Sampler nozzle diameter, code			code
72221	Information	Number of bathers in the water at time of sample collection, count			count
72222	Information	Number of bathers on shore at time of sample collection, count			count
72236	Information	Horizontal width of vertical, meters			m
72237	Information	Bedload sampler intake width, millimeters			mm
72238	Information	Sediment corrected acoustic backscatter (SCB), decibels			dB
72239	Information	Sediment attenuation coefficient (SAC), decibels per meter			dB/m
72248	Information	Count of daytime half-hour periods with evapotranspiration data			count
72249	Information	Daily percentage of modeled (gap-filled) evapotranspiration data			%
72254	Information	Water velocity reading from field sensor, feet per second			ft/sec
72255	Information	Mean water velocity for discharge computation, feet per second			ft/sec
72256	Information	Fall, as determined from fall rating and base gage-height, slope-Q computation, feet			ft
72257	Information	Ratio of fall measured to fall rated, Slope-Q computation			None
72258	Information	Coefficient used to adjust discharge, Slope-Q computation			None
72259	Information	Dielectric permittivity, soil, in situ			None
72260	Information	Fitting parameter root-mean-square error (RMSE), water, in situ, Ultraviolet Nitrate Analyzer			None
72261	Information	Standard deviation, nitrate + nitrite, water, in situ, burst sample, Ultraviolet Nitrate Analyzer, mg/L as N			mg/l as N
72262	Information	Coefficient of variation, nitrate + nitrite, water, in situ, burst sample, Ultraviolet Nitrate Analyzer, percent			%
72271	Information	Length from pectoral spine core to sampled point in pectoral spine cross section, micrometers			um
72277	Information	Datum offset, elevation of water leveling point in reference to established datum, feet			ft
72278	Information	Sensor offset, water level sensor, feet			ft
72280	Information	Number of outliers, data points discarded from NOS-averaged dateset, count			count
72281	Information	Standard deviation, from NOS-averaged dataset, feet			ft
72282	Information	Temperature #1, Aquatrak, air temperature of the upper sounding well, degrees Fahrenheit			deg F
72283	Information	Temperature #2, Aquatrak, air temperature of the bottom sounding well, degrees Fahrenheit			deg F
74200	Information	Sample preservation method, code			code
75970	Information	Thickness, sampler nozzle wall, inches			in
75971	Information	Transducer excitation, depth sensing, millivolts			mV
75972	Information	Transducer signal, depth sensing, millivolts			mV
78890	Information	Sampling depth, feet below mean sea level			ft
78891	Information	Sampling depth, meters below mean sea level			m
81024	Information	Drainage area, square miles			mi2
81025	Information	Contributing drainage area, square miles			mi2
81028	Information	Withdrawal of groundwater, million gallons per day			mgd
81352	Information	Filter pore size, micrometers			um
81799	Information	Stream flow event cfs 0 composite			composite
81905	Information	Well number (American Petroleum Institute)			nu
81907	Information	Well recovery, feet			ft
81908	Information	Recovery fraction ratio			None
81909	Information	Sample midpoint, feet			ft
81910	Information	Initial time open, hours			hours
81911	Information	Final time open, hours			hours
81913	Information	Shut in pressure, pounds per square inch			psi
82072	Information	Dial reading, number			nu
82073	Information	Starting time, 24 hour clock, hour-minute (hhmm)			hhmm
82074	Information	Ending time, 24 hour clock, hour-minute (hhmm)			hhmm
82075	Information	Amount of rinse water, liters			l
82076	Information	Area exposed, square centimeters			cm2
82283	Information	Collector efficiency, dry deposition, percent			%
82284	Information	Collector efficiency, wet deposition, percent			%
82292	Information	Data relay ground station source node, code			code
82301	Information	Sample location, snow course, from beginning marker, feet			ft
82309	Information	Possible contamination source, code			code
82310	Information	Depth, confidence in reported values, code			code
82373	Information	Sample frequency, code			code
82374	Information	Time since streets were last swept, days			days
82376	Information	Street sweeper type			type
82377	Information	Fraction of curb-miles in catchment swept per day			None
82378	Information	Preceding storm event serial number			nu
82398	Information	Sampling method, code			code
82632	Information	Area, cross section, square feet			ft2
82916	Information	Area, sampler, atmospheric deposition, wet, square centimeters			cm2
83105	Information	pH of check solution, wet atmospheric deposition, unfiltered, standard units			std units
83152	Information	Check solution specific conductance, wet atmospheric deposition, unfiltered, microsiemens per centimeter at 25 degrees Celsius			uS/cm @25C
83198	Information	Area, sampler, atmospheric deposition, bulk, square centimeters			cm2
83387	Information	Check solution pH, bulk atmospheric deposition, unfiltered, standard units			std units
83434	Information	Check solution specific conductance, bulk atmospheric deposition, unfiltered, microsiemens per centimeter at 25 degrees Celsius			uS/cm @25C
84060	Information	Topography, physiographic setting, code			code
84143	Information	Well purging condition, code			code
84144	Information	Well selection criteria, code			code
84145	Information	Project component, code			code
84146	Information	Land use, predominant, within 100 feet of well, code			code
84147	Information	Land use, predominant, within 1/4 mile radius of well, code			code
84148	Information	Land use, predominant, fraction of total within 1/4 mile radius of well, code			code
84149	Information	Land use, changes within last 10 years, within 1/4 mile radius of well, code			code
84164	Information	Sampler type, code			code
84171	Information	Sample splitter type, field, code			code
84172	Information	Air sampler filter type, code			code
84173	Information	Air sampler trap sorbent type, code			code
84174	Information	POCIS sorbent type, code			code
84175	Information	Lake thermal layer where measurement was made, code			code
84181	Information	Reel and transit method, code			code
84182	Information	Bottle or bag sampler material (construction), code			code
84183	Information	Plant water extraction method, code			code
85553	Information	Well completion date, month-year (mmyy)			mmyy
85554	Information	Date of latest well workover, month-year (mmyy)			mmyy
85587	Information	Headspace helium dilution factor, from addition of helium to create headspace			None
90003	Information	Type of well, code			code
90004	Information	Retrieval number, standard units			nu
90005	Information	Entry sequence number, standard unit(s)			nu
90007	Information	In-house well code			code
90030	Information	Units for chemical constituents, code			code
90389	Information	2-Fluorobiphenyl, surrogate, soil, EPA 8270D, percent recovery	321-60-8		%
90390	Information	Nitrobenzene-d5, surrogate, soil, EPA 8270D, percent recovery	4165-60-0		%
90391	Information	p-Terphenyl-d14, surrogate, soil, EPA 8270D, percent recovery	1718-51-0		%
90395	Information	Metformin-d6, internal standard/surrogate, NWQL schedule 2440, water, filtered, percent recovery			%
